date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:05:35	31905/31905	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202017%2004:56:33%20GMT	https://otaku-coin.com/	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/index.html	(from )
02:05:36	345/345	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Dec%202017%2017:05:33%20GMT	https://otaku-coin.com/robots.txt		(from )
02:05:37	360/360	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Dec%202017%2017:05:19%20GMT	https://otaku-coin.com/common/images/favicon.ico	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/favicon.ico	(from https://otaku-coin.com/)
02:05:38	1556/1556	---M--	200	added ('OK')	image/png	etag:%227804c09fc6c1f1574ac85a0085a4cd5d%22	https://otaku-coin.com/common/images/favicon.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/favicon.png	(from https://otaku-coin.com/)
02:05:39	1331055/1331055	---M--	200	added ('OK')	image/png	etag:%22233b24eceeabe21f5b88e8696f634e54%22	https://otaku-coin.com/common/images/media-20171218.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/media-20171218.png	(from https://otaku-coin.com/)
02:05:39	15629/15629	---M--	200	added ('OK')	image/png	etag:%22c2e7edcd074a115fd6d7ab7d491245ff%22	https://otaku-coin.com/common/images/apple-touch-icon.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/apple-touch-icon.png	(from https://otaku-coin.com/)
02:05:41	475/475	---MC-	200	added ('OK')	text/css	date:Wed,%2027%20Dec%202017%2017:05:40%20GMT	https://fonts.googleapis.com/css?family=Raleway:400,700	/storage/emulated/0/HTTrack/Websites/OTKCOIN/fonts.googleapis.com/css975a.css	(from https://otaku-coin.com/)
02:05:42	2182/2182	---MCZ	200	added ('OK')	text/css	date:Wed,%2020%20Dec%202017%2008:42:49%20GMT	https://otaku-coin.com/common/css/reset.css	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/css/reset.css	(from https://otaku-coin.com/)
02:05:43	15014/15014	---MCZ	200	added ('OK')	text/css	date:Wed,%2027%20Dec%202017%2004:52:13%20GMT	https://otaku-coin.com/common/css/layout.css	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/css/layout.css	(from https://otaku-coin.com/)
02:05:44	6951/6951	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Dec%202017%2007:06:44%20GMT	https://otaku-coin.com/common/css/magnific-popup.css	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/css/magnific-popup.css	(from https://otaku-coin.com/)
02:05:44	9586/9586	---M--	200	added ('OK')	image/png	etag:%226c34fbb967bf4aabbe39faa30bf61bc5%22	https://otaku-coin.com/common/images/obj_logo.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/obj_logo.png	(from https://otaku-coin.com/)
02:05:46	4015/4015	---M--	200	added ('OK')	text/css	etag:%22ae0fc9b84c30cada1784022044962394%22	http://cdn-images.mailchimp.com/embedcode/classic-10_7.css	/storage/emulated/0/HTTrack/Websites/OTKCOIN/cdn-images.mailchimp.com/embedcode/classic-10_7.css	(from https://otaku-coin.com/)
02:05:47	30175/30175	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202017%2006:05:41%20GMT	https://otaku-coin.com/en/	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/en/index.html	(from https://otaku-coin.com/)
02:05:57	142851/142851	---M--	200	added ('OK')	application/javascript	etag:%22e425de3a109a9261a44312af443c2e7a%22	http://s3.amazonaws.com/downloads.mailchimp.com/js/mc-validate.js	/storage/emulated/0/HTTrack/Websites/OTKCOIN/s3.amazonaws.com/downloads.mailchimp.com/js/mc-validate.js	(from https://otaku-coin.com/)
02:05:57	2592/2592	---M--	200	added ('OK')	image/png	etag:%2206ef0e070640fe947456d0f98efabb9b%22	https://otaku-coin.com/common/images/bt_fb01.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/bt_fb01.png	(from https://otaku-coin.com/)
02:05:58	4669/4669	---M--	200	added ('OK')	image/png	etag:%2273eb73afa0be676af092b85d3c98199f%22	https://otaku-coin.com/common/images/bt_tg01.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/bt_tg01.png	(from https://otaku-coin.com/)
02:05:59	8363/8363	---M--	200	added ('OK')	image/png	etag:%22ad3ada0a8b8a3fe45e3703e4ba2033e7%22	https://otaku-coin.com/common/images/obj_ba01.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/obj_ba01.png	(from https://otaku-coin.com/)
02:06:00	8777/8777	---M--	200	added ('OK')	image/png	etag:%22405c3ff3ddd1c66c72423f4595525539%22	https://otaku-coin.com/common/images/obj_ba02.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/obj_ba02.png	(from https://otaku-coin.com/)
02:06:00	17294/17294	---M--	200	added ('OK')	image/png	etag:%2202c7122daa006a8652a1ea6f0d1cd70f%22	https://otaku-coin.com/common/images/obj_0201.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/obj_0201.png	(from https://otaku-coin.com/)
02:06:01	22336/22336	---M--	200	added ('OK')	image/png	etag:%22fd7a70155eaf6ad10f543a7b7eab0309%22	https://otaku-coin.com/common/images/obj_0202.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/obj_0202.png	(from https://otaku-coin.com/)
02:06:02	25242/25242	---M--	200	added ('OK')	image/png	etag:%22c461103131470def336f03cbf6bd5778%22	https://otaku-coin.com/common/images/obj_0203.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/obj_0203.png	(from https://otaku-coin.com/)
02:06:03	29092/29092	---M--	200	added ('OK')	image/png	etag:%22929c26041cddab45af1e8afdb9d4d5b3%22	https://otaku-coin.com/common/images/obj_0204.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/obj_0204.png	(from https://otaku-coin.com/)
02:06:04	23494/23494	---M--	200	added ('OK')	image/png	etag:%226fc37ace0c272d06d087ce1113587341%22	https://otaku-coin.com/common/images/obj_0205.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/obj_0205.png	(from https://otaku-coin.com/)
02:06:05	10139/10139	---M--	200	added ('OK')	image/png	etag:%2234961cce7edbc82c60f10e7073b886ee%22	https://otaku-coin.com/common/images/obj_0206.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/obj_0206.png	(from https://otaku-coin.com/)
02:06:07	329378/329378	---M--	200	added ('OK')	image/png	etag:%2254e87be8c890b7f1781dceb57ccae45a%22	https://otaku-coin.com/common/images/obj_plan.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/obj_plan.png	(from https://otaku-coin.com/)
02:06:07	5133/5133	---M--	200	added ('OK')	image/png	etag:%2231e9b05e7f4874e9c988a2a8e083a029%22	https://otaku-coin.com/common/images/obj_image.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/obj_image.png	(from https://otaku-coin.com/)
02:06:09	9143/9143	---M--	200	added ('OK')	image/png	etag:%226926184721e70860528cc1647ca1ad86%22	https://otaku-coin.com/common/images/obj_ba03.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/obj_ba03.png	(from https://otaku-coin.com/)
02:06:09	12780/12780	---M--	200	added ('OK')	image/png	etag:%2228e3873b269b7e230a94fdb8f2a36ae2%22	https://otaku-coin.com/common/images/ph_0301.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/ph_0301.png	(from https://otaku-coin.com/)
02:06:10	1974/1974	---M--	200	added ('OK')	image/png	etag:%220d5d72fe40950efc477b034d51bce88a%22	https://otaku-coin.com/common/images/fb02.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/fb02.png	(from https://otaku-coin.com/)
02:06:11	3846/3846	---M--	200	added ('OK')	image/png	etag:%2267abfe8ab6abe0e2f54dd14a720de6f2%22	https://otaku-coin.com/common/images/tg02.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/tg02.png	(from https://otaku-coin.com/)
02:06:13	158759/158759	---M--	200	added ('OK')	image/png	etag:%2235c4c6739daaea8b77c532494cdf3a3d%22	https://otaku-coin.com/common/images/ph_0302.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/ph_0302.png	(from https://otaku-coin.com/)
02:06:14	125681/125681	---M--	200	added ('OK')	image/png	etag:%224ab2d88ed8d1ea984dcf392f927c6b8f%22	https://otaku-coin.com/common/images/ph_0303.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/ph_0303.png	(from https://otaku-coin.com/)
02:06:14	14847/14847	---M--	200	added ('OK')	image/png	etag:%22cb861aa0116249e052441bd52c14b938%22	https://otaku-coin.com/common/images/ph_0304.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/ph_0304.png	(from https://otaku-coin.com/)
02:06:15	3164/3164	---M--	200	added ('OK')	image/png	etag:%22f05868284a7d905208df998b6b698efd%22	https://otaku-coin.com/common/images/bd02.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/bd02.png	(from https://otaku-coin.com/)
02:06:17	251301/251301	---M--	200	added ('OK')	image/png	etag:%2235582da85471d9957148fba30aa43735%22	https://otaku-coin.com/common/images/ph_0305.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/ph_0305.png	(from https://otaku-coin.com/)
02:06:17	2599/2599	---M--	200	added ('OK')	image/png	etag:%228169f907cf720eabed6a8c5308ce3580%22	https://otaku-coin.com/common/images/yb02.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/yb02.png	(from https://otaku-coin.com/)
02:06:19	216895/216895	---M--	200	added ('OK')	image/png	etag:%22776e515c195ced4d226daa9933172ccb%22	https://otaku-coin.com/common/images/ph_0309.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/ph_0309.png	(from https://otaku-coin.com/)
02:06:20	147041/147041	---M--	200	added ('OK')	image/png	etag:%226eb5ff172a794c70969c27fff5ca9795%22	https://otaku-coin.com/common/images/ph_0306.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/ph_0306.png	(from https://otaku-coin.com/)
02:06:21	131611/131611	---M--	200	added ('OK')	image/png	etag:%22524c304ac02e8a0b8d38b6bd57f5fa49%22	https://otaku-coin.com/common/images/ph_0307.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/ph_0307.png	(from https://otaku-coin.com/)
02:06:22	160509/160509	---M--	200	added ('OK')	image/png	etag:%227788878e1e1b547ad223a4131933584c%22	https://otaku-coin.com/common/images/ph_0308.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/ph_0308.png	(from https://otaku-coin.com/)
02:06:22	2023/2023	---M--	200	added ('OK')	image/png	etag:%2257a55d482b9aea3dd874ecfbda6648e7%22	https://otaku-coin.com/common/images/fb03.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/fb03.png	(from https://otaku-coin.com/)
02:06:23	2947/2947	---M--	200	added ('OK')	image/png	etag:%22c99afc79a41fbbe6f13cddc8b94d8dc5%22	https://otaku-coin.com/common/images/tg03.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/tg03.png	(from https://otaku-coin.com/)
02:06:24	7231/7231	---M--	200	added ('OK')	image/png	etag:%22652c136af25e453c3473d66e5c635d4a%22	https://otaku-coin.com/common/images/mg03.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/mg03.png	(from https://otaku-coin.com/)
02:06:25	2221/2221	---M--	200	added ('OK')	image/png	etag:%22e8d7fb0e7f2bbebf354c5c92642da776%22	https://otaku-coin.com/common/images/ct03.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/ct03.png	(from https://otaku-coin.com/)
02:06:28	95992/95992	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js	/storage/emulated/0/HTTrack/Websites/OTKCOIN/ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js	(from https://otaku-coin.com/)
02:06:28	383/383	---M--	200	added ('OK')	application/javascript	etag:%2284a8b3576305881c8afb5799f817912d%22	https://otaku-coin.com/common/js/script.js	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/js/script.js	(from https://otaku-coin.com/)
02:06:30	51/51	---MCZ	200	added ('OK')	text/plain	date:Wed,%2027%20Dec%202017%2017:06:29%20GMT	https://fonts.googleapis.com/robots.txt		(from https://otaku-coin.com/)
02:06:34	328888/328888	---M--	200	added ('OK')	image/png	etag:%220d54b929165ec05289b4ec10a8c77f97%22	https://otaku-coin.com/common/images/obj_plan_en.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/obj_plan_en.png	(from https://otaku-coin.com/en/)
02:06:41	51/51	---MCZ	200	added ('OK')	text/plain	date:Wed,%2027%20Dec%202017%2017:06:34%20GMT	https://fonts.googleapis.com/robots.txt		(from https://otaku-coin.com/)
02:06:43	357/357	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Wed,%2027%20Dec%202017%2017:06:40%20GMT	http://s3.amazonaws.com/downloads.mailchimp.com/js/mc-validate.js	/storage/emulated/0/HTTrack/Websites/OTKCOIN/s3.amazonaws.com/downloads.mailchimp.com/js/mc-validate.js	(from https://otaku-coin.com/)
02:07:26	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Dec%202017%2017:06:30%20GMT	https://otaku-coin.com/common/images/favicon.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/favicon.png	(from https://otaku-coin.com/)
02:07:26	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Dec%202017%2017:06:31%20GMT	https://otaku-coin.com/common/images/apple-touch-icon.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/apple-touch-icon.png	(from https://otaku-coin.com/)
02:07:26	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Dec%202017%2017:06:31%20GMT	https://otaku-coin.com/common/images/obj_logo.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/obj_logo.png	(from https://otaku-coin.com/)
